filepath,split,label,xmin,ymin,xmax,ymax
train/15-02-15-20:17.jpg,train,bus,225,117,411,281
train/15-02-15-20:17.jpg,train,car,335,212,456,329
train/15-02-15-20:17.jpg,train,car,555,140,607,210
train/15-02-15-20:17.jpg,train,taxi,470,211,553,307
train/15-02-15-20:17.jpg,train,taxi,442,138,519,202
train/15-02-15-20:17.jpg,train,taxi,24,238,147,334
train/15-02-15-20:17.jpg,train,taxi,166,176,244,258
train/15-02-15-20:17.jpg,train,taxi,388,110,435,167
train/15-02-15-20:17.jpg,train,taxi,505,96,557,149
train/15-02-15-20:17.jpg,train,bus,436,39,528,126
train/15-02-15-20:17.jpg,train,car,546,66,593,106
train/15-02-15-20:17.jpg,train,car,615,59,663,99
train/33.09-14-17:43.jpg,train,car,378,288,579,474
train/33.09-14-17:43.jpg,train,car,271,7,346,58
train/33.09-14-17:43.jpg,train,car,558,191,704,307
train/33.09-14-17:43.jpg,train,car,555,132,695,214
train/33.09-14-17:43.jpg,train,car,405,65,498,126
train/33.09-14-17:43.jpg,train,car,302,75,393,135
train/33.09-14-17:43.jpg,train,car,227,32,293,72
train/33.09-14-17:43.jpg,train,car,213,1,268,26
train/33.09-14-17:43.jpg,train,car,71,16,120,58
train/33.09-14-17:43.jpg,train,truck,8,39,101,155
train/33.09-14-17:43.jpg,train,motorcycle,83,57,109,96
train/33.09-14-17:43.jpg,train,motorcycle,148,143,187,203
train/33.09-14-17:43.jpg,train,motorcycle,150,108,191,161
train/33.09-14-17:43.jpg,train,motorcycle,349,373,443,477
train/33.09-14-17:43.jpg,train,motorcycle,310,437,384,480
train/28.09-14-17:40.jpg,train,bus,122,82,192,158
train/28.09-14-17:40.jpg,train,car,1,151,33,188
train/28.09-14-17:40.jpg,train,car,176,158,228,206
train/28.09-14-17:40.jpg,train,car,200,293,276,360
train/28.09-14-17:40.jpg,train,car,373,270,457,345
train/28.09-14-17:40.jpg,train,car,365,190,438,250
train/28.09-14-17:40.jpg,train,car,475,251,556,306
train/28.09-14-17:40.jpg,train,car,264,45,312,82
train/28.09-14-17:40.jpg,train,car,616,427,704,479
train/28.09-14-17:40.jpg,train,car,416,143,470,178
train/28.09-14-17:40.jpg,train,taxi,341,135,385,179
train/28.09-14-17:40.jpg,train,taxi,369,97,414,132
train/28.09-14-17:40.jpg,train,taxi,238,33,275,58
train/28.09-14-17:40.jpg,train,bus,213,12,250,45
train/28.09-14-17:40.jpg,train,bus,631,131,704,175
train/28.09-14-17:40.jpg,train,bus,633,105,704,132
train/28.09-14-17:40.jpg,train,motorcycle,257,200,285,252
train/28.09-14-17:40.jpg,train,motorcycle,447,213,480,266
train/28.09-14-17:40.jpg,train,motorcycle,481,188,511,239
train/28.09-14-17:40.jpg,train,motorcycle,438,153,468,200
train/28.09-14-17:40.jpg,train,motorcycle,433,106,462,143
train/28.09-14-17:40.jpg,train,motorcycle,341,60,360,87
train/28.09-14-17:40.jpg,train,motorcycle,487,314,533,379
train/28.09-14-17:40.jpg,train,motorcycle,570,231,608,289
train/28.09-14-17:40.jpg,train,motorcycle,550,293,588,360
train/28.09-14-17:40.jpg,train,motorcycle,526,351,573,434
train/30.09-14-17:41.jpg,train,motorcycle,166,294,242,364
train/30.09-14-17:41.jpg,train,car,1,201,127,315
train/30.09-14-17:41.jpg,train,car,188,32,245,74
train/30.09-14-17:41.jpg,train,car,209,6,256,39
train/30.09-14-17:41.jpg,train,taxi,111,130,185,201
train/69-02-15-20:06.jpg,train,car,425,264,497,334
train/69-02-15-20:06.jpg,train,car,274,195,317,244
train/69-02-15-20:06.jpg,train,car,393,166,426,207
train/69-02-15-20:06.jpg,train,car,440,140,470,164
train/69-02-15-20:06.jpg,train,car,425,115,454,137
train/69-02-15-20:06.jpg,train,car,383,99,404,119
train/69-02-15-20:06.jpg,train,car,302,234,363,303
train/69-02-15-20:06.jpg,train,car,333,188,384,240
train/69-02-15-20:06.jpg,train,car,398,186,466,250
train/69-02-15-20:06.jpg,train,car,492,96,524,119
train/69-02-15-20:06.jpg,train,car,274,162,307,200
train/69-02-15-20:06.jpg,train,car,368,139,408,176
train/69-02-15-20:06.jpg,train,car,327,163,371,199
train/69-02-15-20:06.jpg,train,car,305,129,347,166
train/69-02-15-20:06.jpg,train,car,272,130,301,164
train/69-02-15-20:06.jpg,train,car,292,149,325,181
train/69-02-15-20:06.jpg,train,car,353,126,396,155
train/69-02-15-20:06.jpg,train,car,344,96,375,132
train/69-02-15-20:06.jpg,train,motorcycle,378,269,411,341
train/69-02-15-20:06.jpg,train,motorcycle,391,240,419,295
train/33.09-14-17:45.jpg,train,car,325,244,497,398
train/33.09-14-17:45.jpg,train,car,150,277,273,397
train/33.09-14-17:45.jpg,train,car,116,55,169,107
train/33.09-14-17:45.jpg,train,car,84,27,120,61
train/33.09-14-17:45.jpg,train,car,391,54,457,101
train/33.09-14-17:45.jpg,train,truck,240,13,343,84
train/33.09-14-17:45.jpg,train,motorcycle,480,124,528,192
train/33.09-14-17:45.jpg,train,motorcycle,603,171,668,232
train/33.09-14-17:45.jpg,train,motorcycle,160,155,204,217
train/33.09-14-17:45.jpg,train,motorcycle,515,104,546,159
train/33.09-14-17:45.jpg,train,car,202,140,323,244
train/33.09-14-17:45.jpg,train,car,151,93,231,154
train/33.09-14-17:45.jpg,train,taxi,111,40,140,71
train/33.09-14-17:45.jpg,train,bus,38,109,180,279
train/33.09-14-17:45.jpg,train,bus,499,356,704,479
train/33.09-14-17:45.jpg,train,bus,218,400,365,479
train/33.09-14-17:45.jpg,train,truck,14,21,94,106
train/5-02-15-20:37.jpg,train,car,437,88,493,157
train/5-02-15-20:37.jpg,train,taxi,214,188,302,312
train/5-02-15-20:37.jpg,train,taxi,662,143,704,230
train/5-02-15-20:37.jpg,train,car,215,54,275,117
train/5-02-15-20:37.jpg,train,car,341,4,386,44
train/5-02-15-20:37.jpg,train,motorcycle,268,113,300,171
train/5-02-15-20:37.jpg,train,motorcycle,312,15,333,55
train/5-02-15-20:44.jpg,train,car,468,184,570,327
train/5-02-15-20:44.jpg,train,car,169,306,308,480
train/5-02-15-20:44.jpg,train,car,542,81,608,136
train/5-02-15-20:44.jpg,train,car,450,7,498,49
train/5-02-15-20:44.jpg,train,car,323,35,373,92
train/5-02-15-20:44.jpg,train,car,204,35,280,101
train/5-02-15-20:44.jpg,train,car,1,335,68,478
train/5-02-15-20:44.jpg,train,motorcycle,30,181,81,270
train/32.09-14-17:56.jpg,train,bus,20,108,239,390
train/32.09-14-17:56.jpg,train,car,279,84,371,194
train/4-02-15-20:22.jpg,train,bus,20,30,99,108
train/4-02-15-20:22.jpg,train,motorcycle,181,207,224,296
train/4-02-15-20:22.jpg,train,motorcycle,255,193,285,279
train/4-02-15-20:22.jpg,train,motorcycle,527,168,568,223
train/4-02-15-20:22.jpg,train,car,479,22,506,49
train/15-02-15-20:12.jpg,train,taxi,355,190,444,270
train/15-02-15-20:12.jpg,train,taxi,420,142,503,213
train/15-02-15-20:12.jpg,train,taxi,172,172,271,249
train/15-02-15-20:12.jpg,train,taxi,266,119,344,179
train/15-02-15-20:12.jpg,train,car,290,148,382,219
train/15-02-15-20:12.jpg,train,motorcycle,269,204,308,284
train/15-02-15-20:12.jpg,train,motorcycle,403,241,442,337
train/15-02-15-20:12.jpg,train,motorcycle,444,221,477,286
train/15-02-15-20:12.jpg,train,motorcycle,475,194,503,266
train/15-02-15-20:12.jpg,train,motorcycle,498,165,533,237
train/15-02-15-20:12.jpg,train,car,590,108,640,162
train/15-02-15-20:12.jpg,train,car,542,147,620,224
train/15-02-15-20:12.jpg,train,bus,487,197,575,344
train/15-02-15-20:12.jpg,train,bus,514,73,574,142
train/15-02-15-20:12.jpg,train,bus,375,56,513,169
train/15-02-15-20:12.jpg,train,taxi,382,59,436,110
train/15-02-15-20:12.jpg,train,car,495,43,533,86
train/15-02-15-20:12.jpg,train,car,590,73,646,123
train/15-02-15-20:12.jpg,train,car,562,54,607,80
train/28.09-14-17:58.jpg,train,taxi,121,129,170,179
train/28.09-14-17:58.jpg,train,taxi,379,95,428,134
train/28.09-14-17:58.jpg,train,taxi,312,100,360,143
train/28.09-14-17:58.jpg,train,taxi,268,71,322,108
train/28.09-14-17:58.jpg,train,taxi,323,61,374,99
train/28.09-14-17:58.jpg,train,taxi,496,249,571,312
train/28.09-14-17:58.jpg,train,taxi,466,176,520,227
train/28.09-14-17:58.jpg,train,taxi,536,94,578,126
train/28.09-14-17:58.jpg,train,car,560,143,620,195
train/28.09-14-17:58.jpg,train,car,563,111,602,140
